"simulation","method","lambda","rank","effective_rank","rmse","converged"
4,"PCA (oracle)",NA,12,12,0.406425543694047,NA
4,"PCA (oracle)",NA,13,13,0.423473259982926,NA
4,"PCA (oracle)",NA,14,14,0.439696184332813,NA
4,"PCA (oracle)",NA,15,15,0.455186846636712,NA
4,"PCA (oracle)",NA,16,16,0.470125237310084,NA
4,"PCA (oracle)",NA,17,17,0.484432944858564,NA
4,"PCA (oracle)",NA,18,18,0.498306359585702,NA
4,"PCA (oracle)",NA,19,19,0.511605711594849,NA
4,"PCA (oracle)",NA,20,20,0.524384928261826,NA
4,"PCA (oracle)",NA,21,21,0.536826756294824,NA
4,"PCA (oracle)",NA,22,22,0.548922622335761,NA
4,"PCA (oracle)",NA,23,23,0.560584472517883,NA
4,"PCA (oracle)",NA,24,24,0.571935647866903,NA
4,"PCA (oracle)",NA,25,25,0.582991402552476,NA
4,"PCA (oracle)",NA,26,26,0.593785536544476,NA
4,"PCA (oracle)",NA,27,27,0.604275119048396,NA
4,"PCA (oracle)",NA,28,28,0.614518863764366,NA
4,"PCA (oracle)",NA,29,29,0.624451365133664,NA
4,"PCA (oracle)",NA,30,30,0.634194718019488,NA
4,"ICA (oracle)",NA,0,0,0.785874378347808,NA
4,"ICA (oracle)",NA,1,1,0.514718536548664,TRUE
4,"ICA (oracle)",NA,2,2,0.354674085507425,TRUE
4,"ICA (oracle)",NA,3,3,0.17711957181939,TRUE
4,"ICA (oracle)",NA,4,4,0.216947378506248,TRUE
4,"ICA (oracle)",NA,5,5,0.249795041024799,TRUE
4,"ICA (oracle)",NA,6,6,0.278581352156585,TRUE
4,"ICA (oracle)",NA,7,7,0.304072705722998,TRUE
4,"ICA (oracle)",NA,8,8,0.327461303923872,FALSE
4,"ICA (oracle)",NA,9,9,0.349224006649946,FALSE
4,"ICA (oracle)",NA,10,10,0.369343304778643,FALSE
4,"ICA (oracle)",NA,11,11,0.388372464785023,FALSE
4,"ICA (oracle)",NA,12,12,0.406425543694047,FALSE
4,"ICA (oracle)",NA,13,13,0.423473259982926,FALSE
4,"ICA (oracle)",NA,14,14,0.439696184332814,FALSE
4,"ICA (oracle)",NA,15,15,0.455186846636712,FALSE
4,"ICA (oracle)",NA,16,16,0.470125237310085,FALSE
4,"ICA (oracle)",NA,17,17,0.484432944858564,FALSE
4,"ICA (oracle)",NA,18,18,0.498306359585702,FALSE
4,"ICA (oracle)",NA,19,19,0.511605711594849,FALSE
4,"ICA (oracle)",NA,20,20,0.524384928261826,FALSE
4,"ICA (oracle)",NA,21,21,0.536826756294824,FALSE
4,"ICA (oracle)",NA,22,22,0.548922622335761,FALSE
4,"ICA (oracle)",NA,23,23,0.560584472517883,FALSE
4,"ICA (oracle)",NA,24,24,0.571935647866904,FALSE
4,"ICA (oracle)",NA,25,25,0.582991402552476,FALSE
4,"ICA (oracle)",NA,26,26,0.593785536544476,FALSE
4,"ICA (oracle)",NA,27,27,0.604275119048396,FALSE
4,"ICA (oracle)",NA,28,28,0.614518863764366,FALSE
4,"ICA (oracle)",NA,29,29,0.624451365133664,FALSE
4,"ICA (oracle)",NA,30,30,0.634194718019488,FALSE
4,"SoftImpute (oracle)",1,0,0,0.785874378347808,NA
4,"SoftImpute (oracle)",1,1,1,0.514660237745653,NA
4,"SoftImpute (oracle)",1,2,2,0.354438631345241,NA
4,"SoftImpute (oracle)",1,3,3,0.176314435621686,NA
4,"SoftImpute (oracle)",1,4,4,0.215003111154334,NA
4,"SoftImpute (oracle)",1,5,5,0.246999989744693,NA
4,"SoftImpute (oracle)",1,6,6,0.27508627512439,NA
4,"SoftImpute (oracle)",1,7,7,0.299975121607261,NA
