"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
21,"cEBMF= cGB + pt Normal",10,10,10,0.078936232725813,NA,NA,1.25151738908103,1.17258115635522,0.936927578142742
21,"PCA (oracle)",3,3,3,0.176238090612075,NA,NA,1.25151738908103,1.07527929846895,0.859180469924206
21,"ICA (oracle)",3,3,3,0.176238090612075,NA,NA,1.25151738908103,1.07527929846895,0.859180469924206
21,"SoftImpute (oracle)",3,3,3,0.175475253201807,NA,1,1.25151738908103,1.07604213587922,0.859789999937072
22,"No denoising (Z)",NA,NA,NA,1.25065373625052,NA,NA,1.25065373625052,0,0
22,"EBMF= GB+pt Laplace",7,7,7,0.108119507328059,-332148.976686321,NA,1.25065373625052,1.14253422892246,0.913549606742308
22,"cEBMF= cGB + pt Normal",10,10,10,0.0779422367991503,NA,NA,1.25065373625052,1.17271149945137,0.937678803860753
22,"PCA (oracle)",3,3,3,0.176756258236187,NA,NA,1.25065373625052,1.07389747801433,0.858668908017574
22,"ICA (oracle)",3,3,3,0.176756258236187,NA,NA,1.25065373625052,1.07389747801433,0.858668908017574
22,"SoftImpute (oracle)",3,3,3,0.175889650326594,NA,1,1.25065373625052,1.07476408592392,0.859361831953651
23,"No denoising (Z)",NA,NA,NA,1.2493297305692,NA,NA,1.2493297305692,0,0
23,"EBMF= GB+pt Laplace",5,5,5,0.11686434137823,-330358.951551042,NA,1.2493297305692,1.13246538919097,0.906458368420492
23,"cEBMF= cGB + pt Normal",10,10,10,0.077309943046587,NA,NA,1.2493297305692,1.17201978752261,0.938118863935652
23,"PCA (oracle)",3,3,3,0.175067982252799,NA,NA,1.2493297305692,1.0742617483164,0.859870474567961
23,"ICA (oracle)",3,3,3,0.175067982252799,NA,NA,1.2493297305692,1.0742617483164,0.859870474567961
23,"SoftImpute (oracle)",3,3,3,0.174253149457378,NA,1,1.2493297305692,1.07507658111182,0.860522690532637
24,"No denoising (Z)",NA,NA,NA,1.25002700172419,NA,NA,1.25002700172419,0,0
24,"EBMF= GB+pt Laplace",7,7,7,0.106428661441874,-331314.316420752,NA,1.25002700172419,1.14359834028231,0.914858910011484
24,"cEBMF= cGB + pt Normal",10,10,10,0.0836389221010742,NA,NA,1.25002700172419,1.16638807962311,0.933090307660787
24,"PCA (oracle)",3,3,3,0.175313734761332,NA,NA,1.25002700172419,1.07471326696285,0.859752041740283
24,"ICA (oracle)",3,3,3,0.175313734761332,NA,NA,1.25002700172419,1.07471326696285,0.859752041740283
24,"SoftImpute (oracle)",3,3,3,0.174593528407856,NA,1,1.25002700172419,1.07543347331633,0.860328194377373
25,"No denoising (Z)",NA,NA,NA,1.25149089686062,NA,NA,1.25149089686062,0,0
